Producto;DescripciÃ³n;Fabricante;Costo;Stock Total
2LC0100-7WA00-0AA0;SET OF ELASTOMER FLEXIBLES N-EUPEX 160 (1 SET=7 FLEXIBLES);39;50.122049;0.0
2LC0101-5AB11-0AA0;ACOPLE FLEXIBLE N-EUPEX TYPE A SIZE 350 COMPLETO MARCA FLENDER;39;2588.29;0.0
2LC0101-5WA00-0AA0;SET OF ELASTOMER FLEXIBLES N-EUPEX 350 (1 SET=9 FLEXIBLES);39;167.567483;0.0
3.0HP18RB-SIE;MOT.TRIFASICO 230/460V 3HP 1800RPM 182T WEG;39;498.495576;0.0
3.0HP18RBSIE-S;MOTOR MONOFASICO 120/240V 3HP 1800RPM 1LF31824YK201B;39;245.699973;0.0
3.0HP36SIE;MOTOR 3600 RPM MONOFASICO 3HP;39;270.0;0.0
30.HP18RB-SIE;MOT. TRIFASICO 230/460V 30HP 1800RPM 286T GP 100;39;912.41;0.0
33553;"VENTILADOR AXIAL 110-220VAC. 0.4/0.2A 172X150X51MM (6"")";39;30.6;0.0
380580;EXTECH.MLLIOHMVETER;39;300.0;0.0
3EA0-IMH-3012;PULSAR 30;39;1364.998935;0.0
3G3MX2AB007V1;VARIADOR OMRON, 1AC230V  0.75KW P/1HP;39;0.0;0.0
3KE44300AA;SECCIONADOR DE 3 POLOS 630A, 690V, ACCIO. FRONTAL;39;1057.27;0.0
3LD20030TK53;MAIN/ENERG STOP SWITCH 3 POLE;39;18.850065;0.0
3LD20640TB53;INTERRUPTOR 16A, CAJA PLÁSTICA;39;0.0;0.0
3LD21640TB51;INTERRUPTOR-SECCIONADOR 3FD;39;35.68;1.0
3LD21657UB01;CONMUTADOR DOBLE TIRO 25A CAJA PLAST.;39;73.77;0.0
3LD22130TK51;SENTRON, interruptor-seccionador 3LD, interruptor principal, 3 polos, Iu: 32 A, Potencia de empleo / con AC-23 A a 400 V: 11,5 kW, Fijación en base con acoplamiento de puerta, Accionamiento;39;265.0;0.0
3LD22220TK11;SENTRON, interruptor-seccionador 3LD, interruptor principal, 3 polos, Iu: 32 A, Potencia de empleo / con AC-23 A a 400 V: 11,5 kW, con fijación frontal, accionamiento de muletilla, negro,;39;40.21;0.0
3LD22640TB51;INTERRUPTOR MANUAL IP65;39;42.31;0.0
3LD22657UB01;SENTRON, interruptor-seccionador 3LD, conmutador, 3 polos, Iu: 32 A, Potencia de empleo / con AC-23 A a 400V: 11,5 kW, Caja de material aislante para pasacables métrico, accionamiento de;39;120.95;0.0
3LD25650TB51;INTERRUPTOR MANUAL 63A 3P IP65;39;60.568791;0.0
3LD25667UB01;SENTRON, interruptor-seccionador 3LD, conmutador, 3 polos, Iu: 63 A, Potencia de empleo / con AC-23 A a 400V: 22 kW, Caja de material aislante para pasacables métrico, accionamiento de;39;264.78;0.0
3LD27667UB01;SENTRON, interruptor-seccionador 3LD, conmutador, 3 polos, Iu: 100 A, Potencia de empleo / con AC-23 A a 400V: 37 kW, Caja de material aislante para pasacables métrico, accionamiento de;39;434.77;0.0
3LD28660TB53;SENTRON, interruptor-seccionador 3LD, Pulsador de parada de emergencia, 3 polos, Iu: 125 A, Potencia de empleo / con AC-23 A a 400 V: 45 kW, Envolvente de material aislante para medida métrica;39;388.620394;0.0
3LD3040-0TK13;INTERRUPTOR 3LD 16 A C/BASE 22.5MM;39;215.0;0.0
3NA3132;cartucho de fusibles NH, NH1, Entrada: 125 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;15.47;3.0
3NA3136;cartucho de fusibles NH, NH1, Entrada: 160 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;15.47;0.0
3NA3140;cartucho de fusibles NH, NH1, Entrada: 200 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;17.601429;1.0
3NA3142;cartucho de fusibles NH, NH1, Entrada: 224 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;12.28;0.0
3NA3144;cartucho de fusibles NH, NH1, Entrada: 250 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;16.88297;16.0
3NA3244;cartucho de fusibles NH, NH2, Entrada: 250 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;16.609961;2.0
3NA3252;cartucho de fusibles NH, NH2, Entrada: 315 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;17.2201;1.0
3NA3254;cartucho de fusibles NH, NH2, Entrada: 355 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;14.95;0.0
3NA3260;cartucho de fusibles NH, NH2, Entrada: 400 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;16.154167;0.0
3NA3362;cartucho de fusibles NH, NH3, Entrada: 425 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;32.30863;2.0
3NA3365;cartucho de fusibles NH, NH3, Entrada: 500 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;29.64;0.0
3NA3372;cartucho de fusibles NH, NH3, Entrada: 630 A, gG, Un AC: 500 V, Un DC: 440 V, indicador de fusión superior, orejetas energizadas;39;38.721863;12.0
3NA3801;cartucho de fusibles NH, NH000, Entrada: 6 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;8.9;3.0
3NA3803;cartucho de fusibles NH, NH000, Entrada: 10 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;7.07;12.0
3NA3805;cartucho de fusibles NH, NH000, Entrada: 16 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;6.414453;0.0
3NA3807;cartucho de fusibles NH, NH000, Entrada: 20 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;6.723317;9.0
3NA3810;cartucho de fusibles NH, NH000, Entrada: 25 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;6.878001;2.0
3NA3812;cartucho de fusibles NH, NH000, Entrada: 32 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;7.829722;9.0
3NA3817;cartucho de fusibles NH, NH000, Entrada: 40 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;5.090293;2.0
3NA3820;cartucho de fusibles NH, NH000, Entrada: 50 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;6.170741;3.0
3NA3822;cartucho de fusibles NH, NH000, Entrada: 63 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;7.2525;0.0
3NA3824;cartucho de fusibles NH, NH000, Entrada: 80 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;5.936673;0.0
3NA3830;cartucho de fusibles NH, NH000, Entrada: 100 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;6.91;3.0
3NA3832;cartucho de fusibles NH, NH00, Entrada: 125 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;6.991883;13.0
3NA3836;cartucho de fusibles NH, NH00, Entrada: 160 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusión superior, orejetas energizadas;39;8.25;15.0
3NA6803;cartucho de fusibles NH, NH000, Entrada: 10 A, gG, Un AC: 500 V, Un DC: 250 V, indicador combinado, orejetas aisladas;39;8.0;0.0
3NA6814;cartucho de fusibles NH, NH000, Entrada: 35 A, gG, Un AC: 500 V, Un DC: 250 V, indicador combinado, orejetas aisladas;39;7.2;0.0
3NC2263;SITOR FUSIBLE CILINDRICO 22X58 63A;39;13.11;0.0
3ND2132;CARTUCHO DE FUSIBLE NH,NH1 125A 690V;39;95.95;0.0
3ND2144;CARTUCHO DE FUSIBLE NH,NH1 250A 690V;39;46.32;0.0
3NE00H80;FUSIBLE SITOR 80 AMP 500X;39;6.95;0.0
3NE10210;Cartucho de fusibles SITOR, con contactos de cuchilla, NH00, Entrada: 100 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;40.43012;0.0
3NE10220;Cartucho de fusibles SITOR, con contactos de cuchilla, NH00, Entrada: 125 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;15.68;0.0
3NE1224-0;Cartucho de fusibles SITOR, con contactos de cuchilla, NH1, Entrada: 160 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;52.0;0.0
3NE12250;Cartucho de fusibles SITOR, con contactos de cuchilla, NH1, Entrada: 200 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;65.63;0.0
3NE12270;Cartucho de fusibles SITOR, con contactos de cuchilla, NH1, Entrada: 250 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;72.24;0.0
3NE13310;Cartucho de fusibles SITOR, con contactos de cuchilla, NH2, Entrada: 350 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;100.28;0.0
3NE13320;Cartucho de fusibles SITOR, con contactos de cuchilla, NH2, Entrada: 400 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;0.0;0.0
3NE13330;Cartucho de fusibles SITOR, con contactos de cuchilla, NH2, Entrada: 450 A, gS, Un AC: 690 V, Un DC: 440 V, indicador de fusión superior;39;98.79941;0.0
3NE14360;Cartucho de fusibles SITOR, con contactos de cuchilla, NH3, Entrada: 630 A, gS, Un AC: 690 V, Un DC: 440 V, indicador de fusión superior;39;149.3;3.0
3NE18030;Cartucho de fusibles SITOR, con contactos de cuchilla, NH000, Entrada: 35 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;33.31;6.0
3NE18130;Cartucho de fusibles SITOR, con contactos de cuchilla, NH000, Entrada: 16 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;33.15;0.0
3NE18150;Cartucho de fusibles SITOR, con contactos de cuchilla, NH000, Entrada: 25 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;32.389883;11.0
3NE18170;Cartucho de fusibles SITOR, con contactos de cuchilla, NH000, Entrada: 50 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;31.54;3.0
3NE18180;Cartucho de fusibles SITOR, con contactos de cuchilla, NH000, Entrada: 63 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;31.54;0.0
3NE18200;Cartucho de fusibles SITOR, con contactos de cuchilla, NH000, Entrada: 80 A, gS, Un AC: 690 V, Un DC: 250 V, indicador de fusión superior;39;36.56;3.0
3NE3224;Cartucho de fusibles SITOR, con contactos de cuchilla ranurados, NH1, Entrada: 160 A, aR, Un AC: 1000 V, indicador de fusión superior;39;35.769911;0.0
3NE3225;Cartucho de fusibles SITOR, con contactos de cuchilla ranurados, NH1, Entrada: 200 A, aR, Un AC: 1000 V, indicador de fusión superior;39;46.67;0.0
3NE3227;Cartucho de fusibles SITOR, con contactos de cuchilla ranurados, NH1, Entrada: 250 A, aR, Un AC: 1000 V, indicador de fusión superior;39;0.0;0.0
3NE3335;cartucho de fusibles SITOR,con contactos de cuchilla ranurados, NH2, In: 560 A, aR, Un AC: 1000 V, indicador de fusión superior;39;171.28;0.0
3NE33388;Cartucho de fusibles SITOR, con contactos de cuchilla ranurados, NH2, Entrada: 800 A, aR, Un AC: 800 V, indicador de fusión superior;39;130.0;0.0
3NE4120;Cartucho de fusibles SITOR, con contactos de cuchilla, NH0, Entrada: 80 A, aR, Un AC: 1000 V, Un DC: 440 V, indicador de fusión superior;39;29.490413;2.0
3NE4122;Cartucho de fusibles SITOR, con contactos de cuchilla, NH0, Entrada: 125 A, aR, Un AC: 1000 V, Un DC: 440 V, indicador de fusión superior;39;29.490413;2.0
3NE4222;Cartucho de fusibles SITOR, con contactos de cuchilla, NH1, Entrada: 125 A, aR, Un AC: 690 V, Un DC: 440 V, indicador de fusión superior;39;29.490413;0.0
3NE80241;Cartucho de fusibles SITOR, con contactos de cuchilla, NH00, Entrada: 160 A, aR, Un AC: 690 V, Un DC: 440 V, indicador de fusión superior;39;45.5;0.0
3NEL13330;Cartucho de fusibles SITOR, con contactos de cuchilla, NH2, Entrada: 450 A, gS, Un AC: 690 V, Un DC: 440 V, indicador de fusión superior;39;71.249513;0.0
3NH4030;BASE PARA FUSIBLE NH00 3P 160A;39;38.35;0.0
3NP11331AC10;SECCIONADOR PORTAFUSIBLE;39;45.5;0.0
3NP11331AC20;SECCIONADOR PORTAFUSIBLE  160 A TAM00=3NP11331CA20;39;45.5;0.0
3NP11331CA10;SECCIONADOR PORTAFUSIBLE 160A;39;66.22;4.0
3NP11431DA10;SECCIONADOR PORTAFUSIBLE  TAMAÑO NH1;39;193.27;1.0
3NP11531DA10;SECCIONADOR PORTAFUSIBLE  400A TAMAÑO NH2;39;271.65;1.0
3NP11631DA10;SECCIONADOR 630A TAM 3;39;356.8;2.0
3NP4070-0CA01;SECIONADOR PORTAFUSIBLE  160 A TAM00;39;52.0;0.0
3NP40761CE01;SECCIONADOR TAM 00 160A;39;0.0;0.0
3NP42700CA01;SECCIONADOR PORTAFUSIBLE 250A TAM 1;39;266.89;0.0
3NP43700CA01;SECCIONADOR PORTAFUSIBLES 400;39;237.247788;0.0
3NP44700CA01;SECCIONADOR PORTAFUSIBLE 630A TAM 3;39;455.0;0.0
3NX1013;EXTRACTOR PARA FUSIBLE T/ NH;39;21.45;0.0
3RA191111A;MODULO DE UNION P/3RT   3RV  S00;39;1.97;0.0
3RA19111A;MODULO DE UNION 3RT/3RV S00;39;1.729906;0.0
3RA19132A;ENCLAVAMIENTO MECANICO Y ELECTRICO;39;4.516225;0.0
3RA19211A;MODULO DE UNION 3RT/3RV S0;39;2.212515;4.0
3RA19211DA00;MODULO DE UNION P/3RT2   3RV2  S0;39;0.0;0.0
3RA19242B;ENCLAVAMIENTO MECANICO LATERAL P/S0...S3;39;8.279546;0.0
3RA1931-1A;MODULO DE UNION 3RT/3RV S2;39;4.899731;0.0
3RA19411A;MODULO DE UNION 3RT/3RV S3;39;5.269712;0.0
3RA19542A;ENCLAVAMIENTO  MECANICO P/3RT S6...S12;39;14.729986;2.0
3RA28151FW10;CONTACTO AUXILIAR CON RETARDADO A DESEXITACION 0.05-100 S 24-240 V AC/DC;39;92.95;0.0
3RA29112AA00;MODULO UNION 3RV2011 CON 3RT201, S00;39;7.160089;0.0
3RA29112FA00;MODULO UNION 3RV CON 3RT, CONEXION RESORTE;39;5.12;5.0
3RA2912-2H;ENCLAVAMIENTO MECANICO S00;39;2.43;17.0
3RA29132AA2;ENCLAVAMIENTO MECANICO Y ELECTRICO P/ INNOVATION;39;13.88;0.0
3RA29211AA00;MODULO UNION 3RV CON 3RT.  S0;39;4.77;13.0
3RA2922-2H;ENCLAVAMIENTO MECANICO S0;39;2.15981;23.0
3RA2934-2B;ENCLAVAMIENTO MECANICO PARA S6-12;39;4.73;1.0
3RB20461EB0;RELE SOBRECARGA 25-100A S3;39;140.225614;0.0
3RB20561FC2;Relé de sobrecarga 50...200 A para protección de motores Tamaño S6, CLASE 10E Montaje en contactor/independiente Circuito principal:conexión para barra circuito auxiliar: bornes de tornillo;39;203.13091;0.0
3RB20561FW2;Relé de sobrecarga 50...200 A para protección de motores Tamaño S6, CLASE 10E Montaje en contactor/independiente Circuito principal: transf. pasante circuito auxiliar: bornes de tornillo REARME;39;204.41;0.0
3RB20661GC2;Relé de sobrecarga 55...250 A para protección de motores Tamaño S10/S12, CLASE 10E Montaje en contactor/independiente Circuito principal:conexión para barra circuito auxiliar: bornes de tornillo;39;229.26;0.0
3RB20661MC2;RELE DE SOBRECARGA 160-630A S10/512 CLASE 10;39;292.5;0.0
3RB30361UB0;RELE SOBRECARGA 12,5  50A S2;39;0.0;0.0
3RB30461XB0;Relé de sobrecarga 32...115 A electrónico para protección de motores tamaño S3, clase 10E para montar en contactor Circuito principal: atornillable circuito auxiliar: atornillable Rearme;39;204.41;0.0
3RB30461XW1;Relé de sobrecarga 32...115 A electrónico para protección de motores tamaño S3, clase 10E instalación independiente Circuito principal: Transformador con primario pasante circuito auxiliar:;39;204.41;0.0
3RE/65A/230AC;ARRANCADOR DIRECTO CON GUARDAMOTOR;39;0.0;0.0
3RE0134-4BB0;CAJA PLASTICA PARA ARRANCADOR;39;9.855926;0.0
3RE10000-01;ARRANCADOR DIRECTO S00 0.9-1.25A 230V;39;71.437027;0.0
3RE10000-02;ARRANCADOR DIRECTO 4.5-6.3A EN CAJA SV1;39;0.0;0.0
3RE10000-03;ARRANCADOR DIRECTO 1.8-2.5A EN CAJA SV0;39;0.0;0.0
3RE10161CA150AN1/120;ARRANCADOR DIRECTO S00  1.8-2.5A, 120V;39;71.429735;0.0
3RE10161CA150AN1/230;ARRANCADOR DIRECTO S00  1.8-2.5A;39;71.439772;0.0
3RE10161CA150AN1/440;*ARRANCADOR DIRECTO S00  1.8-2.5 A 230;39;81.728807;0.0
3RE10161EA150AN;ARRANCADOR DIRECTO S00 2.8 A 4A;39;62.400603;0.0
3RE10161EA150AN1/230;ARRANCADOR DIRECTO S00 2.8-4 A 230V;39;60.449851;0.0
3RE10161EA150AN1/440;ARRANCADOR DIRECTO S00 2.8-4 A 440V;39;494.14;0.0
3RE10161GA150AN1/230;ARRANCADOR DIRECTO S00 4.5-6.3A 230V;39;57.683731;0.0
3RE10161GA150AN1/440;ARRANCADOR DIRECTO S00 4.5-6.3 A 440V;39;49.6;0.0
3RE10161GA150N1/230;Arrancador directo 4.5-6.3 A 230V;39;0.0;0.0
3RE10161HA150AN1/230;ARRANCADOR DIRECTO S00  5.5-7 A 230V;39;54.532307;0.0
3RE10161HA150AN1/440;ARRANCADOR DIRECTO S00  5.5-7 A 440 V;39;49.6;0.0
3RE1016-1JA16-0AN1;ARRANCADOR DIRECTO S00 7-9A 240 V;39;50.700255;0.0
3RE10161JA160AN1/230;ARRANCADOR DIRECTO S00 7-9 A 230V;39;51.563978;0.0
3RE10161JA160NA1/440;ARRANCADOR DIRECTO S00 7-9 A 440V;39;71.433333;0.0
3RE10161KA170AN1/230;ARRANCADOR DIRECTO S00 9-12A 230 V;39;102.230293;0.0
3RE10161KA170AN1/440;ARRANCADOR DIRECTO S00 9-12A 440 V;39;293.24;0.0
3RE10264AA250AN1;ARRANCADOR DIRECTO S0 11-16A 230V;39;108.639174;0.0
3RE10264AA250AN1/440;ARRANCADOR DIRECTO S0 11-16A 440V;39;99.464455;0.0
3RE10264AB250AN2480;ARRANCADOR DIRECTO S0 11-16A 480V;39;512.59;0.0
3RE10264CA260AN1/220;ARRANCADOR DIRECTO S0 20-25A 230V;39;148.336891;0.0
3RE10264CA260AN1/230;ARRANCADOR DIRECTO S0 17-22A 230V;39;122.79712;0.0
3RE10264CA260AN1/440;ARRANCADOR DIRECTO S0 17-22A 440V;39;77.6;0.0
3RE10364EA340AN1;ARRANCADOR DIRECTO S2 22-32A 230V;39;187.128741;0.0
3RE10364EA340AN1/440;ARRANCADOR DIRECTO S2 22-32A 440V;39;126.5;0.0
3RE10364FA350AN1/230;ARRANCADOR DIRECTO S2 28-40A 230V;39;168.077674;0.0
3RE10364HA360AN1;ARRANCADOR DIRECTO S2 40-50A 230V;39;155.25;0.0
3RE51101JA171AN6;ARRANCADOR DIRECTO S00 7-9 A 230V;39;71.437148;0.0
3RE51204AA260AN2;ARRANCADOR DIRECTO S0 11-16A 220V;39;122.040005;0.0
3RE5120AA260AN2;ARRANCADOR DIRECTO 11-16A 230V;39;102.12;0.0
3RE52230AA095AN2;ARRANCADOR DIRECTO S0 80-95A 230V;39;0.0;0.0
3RF2120-1AA02;RELE DE ESTATICO MONOFASICO 3RF22,5MM 20A 24-230V;39;58.15;0.0
3RF2320-IAA02;RELE DE ESTADO SOLIDO 3RF2 2DA 24-230V;39;29.0;0.0
3RG16140LB00;SENSOR CAPACITIVO PXC200 M30 NA;39;123.31;0.0
3RG40240KB00;SENSOR BERO INDUCTIVO NA;39;49.438757;0.0
3RG6125-3BF00;SENSOR SIMATIC PXS410 SONAR M30 ORIENTABLE 24 VDC;39;1406.646018;0.0
3RH11221AB00;CONTACTOR AUXI 2NA+2NC 24VAC;39;15.808924;0.0
3RH11221AK60;CONTACTOR AUXILIAR 120V 2NO+2NC;39;16.899987;0.0
3RH11221AP00;CONTACTOR AUXILIAR 2NA+ 2NC 230V;39;22.070238;0.0
3RH11221BB40;CONTACTOR AUXILIAR 2NA+2NC  24VDC;39;22.636467;0.0
3RH11221BF40;CONTACTOR AUXILIAR  2NA+2NC 110VDC;39;10.980091;0.0
3RH11221BG40;CONTACTOR AUXILIAR  2NA+2NC 125VDC;39;24.7;0.0
3RH11311BB40;CONTACTOR AUXILIAR 3NA+1NC 24 VDC;39;16.95;0.0
3RH19111CA01;CONTACTO AUXILIAR;39;2.340001;0.0
3RH1911-1FA11;CONTACTO AUXILIAR FRONTAL S00 1NA+ 1NC;39;4.319982;0.0
3RH19111FA22;CONTACTO AUXILIAR FRONTAL S00 2NA+2NC;39;7.041154;0.0
3RH19111GA31;BLOQUE INT AUXILIAR 3NA+1NC;39;8.32;0.0
3RH19211CA01;CONTACTO AUXILIAR FRONTAL 1NC;39;2.340001;0.0
3RH19211CA10;CONTACTO AUXILIAR FRONTAL S0-12 1NA;39;2.348283;0.0
3RH19211DA11;CONTACTO AUXILIAR LATERAL 1NC+1NO;39;7.149846;1.0
3RH1921-1EA11;CONTACTO AUXILIAR LATERAL S0-S12 1NA+1NC;39;9.42391;0.0
3RH19211FA22;CONTACTO AUXILIAR FRONTAL S0-S12 2NA+2NC;39;8.422699;0.0
3RH19211JA11;CONTACTO AUXILIAR FRONTAL 1NA+1NC S0-S12;39;6.370005;0.0
3RH19212FA22;CONTACTO AUX. 2NA+2NC FRONT. GAGE CLAMP;39;8.448901;0.0
3RH21221AB00;CONTACTOR AUXI 2N0+2NC 24VAC;39;29.477997;4.0
3RH21221AK60;CONTACTOR AUXILIAR 120V 2NO+2NC;39;30.72;4.0
3RH21221AK60/2911;CONTACTOR AUXILIAR 3NA+3NC, 120VAC;39;0.0;0.0
3RH21221AP00;CONTACTOR AUXILIAR 2NA+ 2NC 230V;39;29.929722;2.0
3RH21221BB40;CONTACTOR AUXILIAR 2NO+2NC 24 VDC;39;34.858729;29.0
3RH21311BB40;CONTACTOR AUXILIAR 3NA+1NC 24 VDC;39;35.54;20.0
3RH21401AP00;CONTACTOR AUXILIAR, 4 NA, AC, 230V, 50;39;19.6;0.0
3RH21401BB40;CONTACTOR RELAY 4NO 24 VDC;39;35.441434;18.0
3RH29111AA10;CONTACTO AUXILIAR  FRONTAL 1NA, 3RT2;39;3.779999;5.0
3RH29111BA11;CONTACTOR AUXILIAR  LATERAL 1NA+1NC;39;7.739909;0.0
3RH29111DA11;CONTACTO AUXILIAR LATERAL 1NA+1NC, 3RT2;39;10.709477;13.0
3RH29111HA22;CONTACTO AUXILIAR FRONTAL 2NA+2NC, 3RT2;39;11.93;10.0
3RN10101CM00;PROTECTOR P/MOTOR POR TERMISTOR;39;93.6;0.0
3RP15051AP30;RELE TIEMPO 15 TIEMPOS AC/DC 24 200-240V;39;61.750148;0.0
3RP15051BP30;RELE TIEMPO .SS  100H;39;71.5;0.0
3RP15051BW30;RELE DE TIEMPO 15 TIEMPOS AC/DC24-240V;39;84.523438;0.0
3RP15121AP30;RELE TIEMPO 1,5-30S 24VAC/DC 200-240V;39;32.50014;0.0
3RP15121AQ30;RELE TIEMPO 1,5-30S 24VAC/DC 100-127V;39;24.699964;0.0
3RP15131AQ30;RELE DE TIEMPO 5-100S. 100-127V;39;14.060116;0.0
3RP15251AP30;RELE TIEMPO (1,3,10,30,100) (S,M,H) 24VAC/DC 200-240V;39;43.356649;0.0
3RP15251AQ30;RELE TIEMPO (1,3,10,30,100) (S,M,H) 24VAC/DC 100-127VAC;39;33.8616;0.0
